Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
01/01/2018 00:00;01/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;5.0;4.6208333333;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
01/01/2018 00:00;01/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;25.0;24.8166666667;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
02/01/2018 00:00;02/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;12.0;11.8208333333;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
02/01/2018 00:00;02/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;9.0;9.4291666667;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
03/01/2018 00:00;03/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;7.0;7.4833333333;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
03/01/2018 00:00;03/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;21.0;21.0291666667;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
04/01/2018 00:00;04/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;9.0;8.7291666667;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
04/01/2018 00:00;04/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;14.0;14.4791666667;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
05/01/2018 00:00;05/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;8.0;7.7173913043;µg-m3;96.0;100;96.0;A;1;45.757732;4.854214
05/01/2018 00:00;05/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;10.0;9.5083333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
06/01/2018 00:00;06/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;9.0;8.6875;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
06/01/2018 00:00;06/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;8.0;7.9708333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
07/01/2018 00:00;07/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;12.0;12.3333333333;µg-m3;100.0;100;100.0;R;1;45.757732;4.854214
07/01/2018 00:00;07/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;20.0;19.8708333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
08/01/2018 00:00;08/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;15.0;15.3708333333;µg-m3;100.0;100;100.0;R;1;45.757732;4.854214
08/01/2018 00:00;08/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;17.0;17.4590909091;µg-m3;92.0;100;92.0;R;1;44.86121;-0.58037
09/01/2018 00:00;09/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;13.0;13.2041666667;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
09/01/2018 00:00;09/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;13.0;13.0958333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
10/01/2018 00:00;10/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;12.0;12.35;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
